,receptor,family,gene
0,5-HT1B receptor,5-Hydroxytryptamine receptors,['Htr1b']
1,5-HT1D receptor,5-Hydroxytryptamine receptors,['Htr1d']
2,5-HT1F receptor,5-Hydroxytryptamine receptors,['Htr1f']
3,5-HT2A receptor,5-Hydroxytryptamine receptors,['Htr2a']
4,5-HT2B receptor,5-Hydroxytryptamine receptors,['Htr2b']
5,5-HT4 receptor,5-Hydroxytryptamine receptors,['Htr4']
6,5-HT5A receptor,5-Hydroxytryptamine receptors,['Htr5a']
7,5-ht5b receptor,5-Hydroxytryptamine receptors,['Htr5b']
8,5-HT6 receptor,5-Hydroxytryptamine receptors,['Htr1a']
9,5-HT7 receptor,5-Hydroxytryptamine receptors,['Htr7']
10,M1 receptor,Acetylcholine receptors (muscarinic),['Chrm1']
11,M2 receptor,Acetylcholine receptors (muscarinic),['Chrm2']
12,M3 receptor,Acetylcholine receptors (muscarinic),['Chrm3']
13,M4 receptor,Acetylcholine receptors (muscarinic),['Chrm4']
14,M5 receptor,Acetylcholine receptors (muscarinic),['Chrm5']
15,A1 receptor,Adenosine receptors,['Adora1']
16,A2A receptor,Adenosine receptors,['Adora2a']
17,A2B receptor,Adenosine receptors,['Adora2b']
18,A3 receptor,Adenosine receptors,"['Adora3', 'Tmigd3', 'Adora3', 'Tmigd3']"
19,ADGRA1,Adhesion Class GPCRs,['Adgra1']
20,ADGRA2,Adhesion Class GPCRs,['Adgra2']
21,ADGRA3,Adhesion Class GPCRs,['Adgra3']
22,ADGRB2,Adhesion Class GPCRs,['Adgrb2']
23,ADGRB3,Adhesion Class GPCRs,['Adgrb3']
24,CELSR1,Adhesion Class GPCRs,['Celsr1']
25,CELSR2,Adhesion Class GPCRs,['Celsr2']
26,CELSR3,Adhesion Class GPCRs,['Celsr3']
27,ADGRD1,Adhesion Class GPCRs,['Adgrd1']
28,ADGRE1,Adhesion Class GPCRs,['Adgre1']
29,ADGRE4P,Adhesion Class GPCRs,['Adgre4']
30,ADGRE5,Adhesion Class GPCRs,['Adgre5']
31,ADGRF2,Adhesion Class GPCRs,['Adgrf2']
32,ADGRF3,Adhesion Class GPCRs,['Adgrf3']
33,ADGRF4,Adhesion Class GPCRs,['Adgrf4']
34,ADGRF5,Adhesion Class GPCRs,['Adgrf5']
35,ADGRG1,Adhesion Class GPCRs,['Adgrg1']
36,ADGRG2,Adhesion Class GPCRs,['Adgrg2']
37,ADGRG3,Adhesion Class GPCRs,['Adgrg3']
38,ADGRG5,Adhesion Class GPCRs,['Adgrg5']
39,ADGRG6,Adhesion Class GPCRs,['Adgrg6']
40,ADGRG7,Adhesion Class GPCRs,"['Adgrg7', 'Adgrg7']"
41,ADGRL1,Adhesion Class GPCRs,['Adgrl1']
42,ADGRL2,Adhesion Class GPCRs,['Adgrl2']
43,ADGRL3,Adhesion Class GPCRs,['Adgrl3']
44,ADGRL4,Adhesion Class GPCRs,['Adgrl4']
45,ADGRV1,Adhesion Class GPCRs,['Adgrv1']
46,α1A-adrenoceptor,Adrenoceptors,['Adra1a']
47,α1B-adrenoceptor,Adrenoceptors,['Adra1b']
48,α1D-adrenoceptor,Adrenoceptors,['Adra1d']
49,α2A-adrenoceptor,Adrenoceptors,['Adra2a']
50,α2B-adrenoceptor,Adrenoceptors,['Adra2b']
51,α2C-adrenoceptor,Adrenoceptors,['Adra2c']
52,β1-adrenoceptor,Adrenoceptors,['Adrb1']
53,β2-adrenoceptor,Adrenoceptors,['Adrb2']
54,β3-adrenoceptor,Adrenoceptors,['Adrb3']
55,AT2 receptor,Angiotensin receptors,['Agtr2']
56,apelin receptor,Apelin receptor,['Aplnr']
57,GPBA receptor,Bile acid receptor,['Gpbar1']
58,BB1 receptor,Bombesin receptors,['Nmbr']
59,BB2 receptor,Bombesin receptors,['Grpr']
60,BB3 receptor,Bombesin receptors,['Brs3']
61,B1 receptor,Bradykinin receptors,['Bdkrb1']
62,B2 receptor,Bradykinin receptors,['Bdkrb2']
63,CT receptor,Calcitonin receptors,['Calcr']
64,calcitonin receptor-like receptor,Calcitonin receptors,['Calcrl']
65,CaS receptor,Calcium-sensing receptor,['Casr']
66,CB1 receptor,Cannabinoid receptors,['Cnr1']
67,CB2 receptor,Cannabinoid receptors,['Cnr2']
68,chemerin receptor 1,Chemerin receptors,['Cmklr1']
69,chemerin receptor 2,Chemerin receptors,['Gpr1']
70,CCR1,Chemokine receptors,['Ccr1']
71,CCR3,Chemokine receptors,['Ccr3']
72,CCR4,Chemokine receptors,['Ccr4']
73,CCR5,Chemokine receptors,['Ccr5']
74,CCR6,Chemokine receptors,['Ccr6']
75,CCR7,Chemokine receptors,['Ccr7']
76,CCR8,Chemokine receptors,['Ccr8']
77,CCR9,Chemokine receptors,['Ccr9']
78,CCR10,Chemokine receptors,['Ccr10']
79,CXCR1,Chemokine receptors,['Cxcr1']
80,CXCR2,Chemokine receptors,['Cxcr2']
81,CXCR3,Chemokine receptors,['Cxcr3']
82,CXCR4,Chemokine receptors,['Cxcr4']
83,CXCR5,Chemokine receptors,['Cxcr5']
84,CXCR6,Chemokine receptors,['Cxcr6']
85,CX3CR1,Chemokine receptors,['Cx3cr1']
86,XCR1,Chemokine receptors,['Xcr1']
87,ACKR2,Chemokine receptors,['Ackr2']
88,ACKR3,Chemokine receptors,['Ackr3']
89,ACKR4,Chemokine receptors,['Ackr4']
90,CCRL2,Chemokine receptors,['Ccrl2']
91,CCK1 receptor,Cholecystokinin receptors,['Cckar']
92,CCK2 receptor,Cholecystokinin receptors,['Cckbr']
93,GPR3,Class A Orphans,['Gpr3']
94,BB3 receptor,Class A Orphans,['Brs3']
95,GPR4,Class A Orphans,['Gpr4']
96,GPR6,Class A Orphans,['Gpr6']
97,GPR12,Class A Orphans,['Gpr12']
98,GPR15,Class A Orphans,['Gpr15']
99,GPR17,Class A Orphans,['Gpr17']
100,GPR18,Class A Orphans,['Gpr18']
101,GPR19,Class A Orphans,['Gpr19']
102,GPR21,Class A Orphans,['Gpr21']
103,GPR22,Class A Orphans,['Gpr22']
104,GPR25,Class A Orphans,['Gpr25']
105,GPR26,Class A Orphans,['Gpr26']
106,GPR27,Class A Orphans,['Gpr27']
107,GPR31,Class A Orphans,['Gpr31b']
108,GPR33,Class A Orphans,['Gpr33']
109,GPR34,Class A Orphans,['Gpr34']
110,GPR35,Class A Orphans,['Gpr35']
111,GPR37,Class A Orphans,['Gpr37']
